Gebietsschlüssel;Gebiet;Name des Gebietes;AnzWbez;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A1p;Wahlberechtigte A2;Wahlberechtigte A2p;Wahlberechtigte A3;Wahlberechtigte A3p;Wählende;Wahlbeteiligung;Wählende mit Wahlschein;Wählende mit Wahlschein in Prozent;Ungültige Stimmzettel;Ungültige Stimmzettel in Prozent;Gültige Stimmen;Gültige Stimmen in Prozent;Stimmen nach aggregierten Wahlvorschlägen;CDU;CDU in Prozent;SPD;SPD in Prozent;AfD;AfD in Prozent;DIE LINKE;DIE LINKE in Prozent;GRÜNE/B 90 und andere;GRÜNE/B 90 und andere in Prozent;BVB / FREIE WÄHLER und andere;BVB / FREIE WÄHLER und andere in Prozent;FDP;FDP in Prozent;HEIMAT;HEIMAT in Prozent;Die PARTEI und andere;Die PARTEI und andere in Prozent;PIRATEN und andere;PIRATEN und andere in Prozent;Tierschutzpartei;Tierschutzpartei in Prozent;III. Weg;III. Weg in Prozent;Volt;Volt in Prozent;Bauern und andere;Bauern und andere in Prozent;weitere Wählergruppen;weitere Wählergruppen in Prozent;weitere Listenvereinigungen;weitere Listenvereinigungen in Prozent;Einzelbewerbende;Einzelbewerbende in Prozent;Stimmen nach Wahlvorschlägen;CDU;CDU in Prozent;SPD;SPD in Prozent;AfD;AfD in Prozent;DIE LINKE;DIE LINKE in Prozent;GRÜNE/B 90;GRÜNE/B 90 in Prozent;FDP;FDP in Prozent;HEIMAT;HEIMAT in Prozent;Die PARTEI;Die PARTEI in Prozent;PIRATEN;PIRATEN in Prozent;Tierschutzpartei;Tierschutzpartei in Prozent;III. Weg;III. Weg in Prozent;Volt;Volt in Prozent;BV;BV in Prozent;BVB / FREIE WÄHLER;BVB / FREIE WÄHLER in Prozent;UBL;UBL in Prozent;BVB / FREIE WÄHLER;BVB / FREIE WÄHLER in Prozent;Bürgerfraktion Barnim;Bürgerfraktion Barnim in Prozent;GRÜNE/B 90 & BI Stadtentwicklung;GRÜNE/B 90 & BI Stadtentwicklung in Prozent;AUB-Freie Wähler;AUB-Freie Wähler in Prozent;PIRATEN-PDS-SORBEN-TIERSCHUTZ-HIPHOP;PIRATEN-PDS-SORBEN-TIERSCHUTZ-HIPHOP in Prozent;FBI / BVB / FREIE WÄHLER;FBI / BVB / FREIE WÄHLER in Prozent;SUB;SUB in Prozent;Die PARTEI-Die PDS;Die PARTEI-Die PDS in Prozent;PIRATEN/ÖDP;PIRATEN/ÖDP in Prozent;PIRATEN, Tierschutz PM;PIRATEN, Tierschutz PM in Prozent;WfTf;WfTf in Prozent;aNDERE;aNDERE in Prozent;Freie Wählergruppe Bauern;Freie Wählergruppe Bauern in Prozent;Bauern;Bauern in Prozent;WG LUN;WG LUN in Prozent;UC!;UC! in Prozent;WG KBV;WG KBV in Prozent;BLR;BLR in Prozent;UWG;UWG in Prozent;B-J-A;B-J-A in Prozent;UWG-SPN;UWG-SPN in Prozent;BLR;BLR in Prozent;Bauernverband BAR;Bauernverband BAR in Prozent;Bauern;Bauern in Prozent;BfO;BfO in Prozent;FWKW;FWKW in Prozent;LGU;LGU in Prozent;LWG;LWG in Prozent;Wir für KW;Wir für KW in Prozent;UfW Pro Strausberg;UfW Pro Strausberg in Prozent;LWN;LWN in Prozent;PRO VELTEN;PRO VELTEN in Prozent;GUB-SPN;GUB-SPN in Prozent;BVFO;BVFO in Prozent;Pro Ruppin;Pro Ruppin in Prozent;L u. U;L u. U in Prozent;SFB;SFB in Prozent;HZ;HZ in Prozent;Bündnis für Bernau e.V.;Bündnis für Bernau e.V. in Prozent;VUB;VUB in Prozent;IG Havel;IG Havel in Prozent;FWG;FWG in Prozent;AGSUS;AGSUS in Prozent;DUB;DUB in Prozent;UBB;UBB in Prozent;AWG;AWG in Prozent;AfZ;AfZ in Prozent;Bündnis Barnim;Bündnis Barnim in Prozent;Bündnis Frieden, Vernunft und Gerechtigkeit;Bündnis Frieden, Vernunft und Gerechtigkeit in Prozent;BfW;BfW in Prozent;Bündnis LOS;Bündnis LOS in Prozent;Mitten in Potsdam;Mitten in Potsdam in Prozent;Bündnis Schorfheide;Bündnis Schorfheide in Prozent;BfB;BfB in Prozent;Bürger für Frieden, Vernunft und Gerechtigkeit;Bürger für Frieden, Vernunft und Gerechtigkeit in Prozent;BüP;BüP in Prozent;BfVG;BfVG in Prozent;BIS;BIS in Prozent;BfdP;BfdP in Prozent;FWBL;FWBL in Prozent;GfG;GfG in Prozent;MiB;MiB in Prozent;MIBrb;MIBrb in Prozent;StdD;StdD in Prozent;UWG;UWG in Prozent;WIR;WIR in Prozent;WG Senftenberg kann mehr!;WG Senftenberg kann mehr! in Prozent;WG Für Vernunft und Gerechtigkeit ;WG Für Vernunft und Gerechtigkeit  in Prozent;Bündnis MOL;Bündnis MOL in Prozent;BVG;BVG in Prozent;ZSC;ZSC in Prozent;EB Oecknigk;EB Oecknigk in Prozent;EB Beer;EB Beer in Prozent;EB Jahnke;EB Jahnke in Prozent;EB Dabow;EB Dabow in Prozent;EB Rottenau;EB Rottenau in Prozent;EB Gerlach;EB Gerlach in Prozent;EB Gliese;EB Gliese in Prozent;EB Graß;EB Graß in Prozent;EB Gutsche;EB Gutsche in Prozent;EB Jens Hinze;EB Jens Hinze in Prozent;EB Keiling;EB Keiling in Prozent;EB Kminikowski;EB Kminikowski in Prozent;EB König;EB König in Prozent;EB Link;EB Link in Prozent;EB Niemack;EB Niemack in Prozent;EB Piwodda;EB Piwodda in Prozent;EB Ritter;EB Ritter in Prozent;EB Teichert;EB Teichert in Prozent;EB Wenzel;EB Wenzel in Prozent;EB Witzsche;EB Witzsche in Prozent
12051;kreisfreie Stadt;Brandenburg an der Havel, Stadt;71;60140;51209;85,1;8931;14,9;0;0;34857;58;7820;22,4;684;2;101800;97,4;Stimmen nach aggregierten Wahlvorschlägen;23990;23,6;18990;18,7;24228;23,8;7318;7,2;9087;8,9;9642;9,5;2863;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5066;5;0;0;616;0,6;Stimmen nach Wahlvorschlägen;23990;23,6;18990;18,7;24228;23,8;7318;7,2;9087;8,9;2863;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9642;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5066;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;616;0,6;0;0
12052;kreisfreie Stadt;Cottbus;120;78002;60152;77,1;17850;22,9;0;0;48820;62,6;16396;33,6;769;1,6;142965;97,6;Stimmen nach aggregierten Wahlvorschlägen;22894;16;27991;19,6;41731;29,2;10183;7,1;7066;4,9;6195;4,3;2926;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21275;14,9;2704;1,9;0;0;Stimmen nach Wahlvorschlägen;22894;16;27991;19,6;41731;29,2;10183;7,1;7066;4,9;2926;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6195;4,3;0;0;0;0;2704;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12938;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5881;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2456;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12053;kreisfreie Stadt;Frankfurt (Oder), Stadt;67;46792;40324;86,2;6468;13,8;0;0;27238;58,2;5975;21,9;547;2;78848;96,5;Stimmen nach aggregierten Wahlvorschlägen;18030;22,9;9990;12,7;22600;28,7;12449;15,8;4802;6,1;4135;5,2;2971;3,8;0;0;3871;4,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Stimmen nach Wahlvorschlägen;18030;22,9;9990;12,7;22600;28,7;12449;15,8;0;0;2971;3,8;0;0;3871;4,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4802;6,1;0;0;0;0;4135;5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12054;kreisfreie Stadt;Potsdam, Stadt;195;143118;108893;76,1;34225;23,9;0;0;100728;70,4;31621;31,4;1665;1,7;295020;97,6;Stimmen nach aggregierten Wahlvorschlägen;43494;14,7;57258;19,4;40321;13,7;25778;8,7;42804;14,5;8686;2,9;13155;4,5;0;0;7837;2,7;0;0;0;0;0;0;5503;1,9;0;0;49699;16,8;0;0;485;0,2;Stimmen nach Wahlvorschlägen;43494;14,7;57258;19,4;40321;13,7;25778;8,7;42804;14,5;13155;4,5;0;0;7837;2,7;0;0;0;0;0;0;5503;1,9;0;0;8686;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29973;10,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16167;5,5;0;0;3559;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;485;0,2
12060;Landkreis 60;Barnim;252;160866;126502;78,6;34364;21,4;0;0;109239;67,9;31483;28,8;2173;2;316736;96,6;Stimmen nach aggregierten Wahlvorschlägen;54619;17,2;34655;10,9;77820;24,6;34432;10,9;21939;6,9;38362;12,1;8745;2,8;0;0;8363;2,6;0;0;0;0;0;0;0;0;9585;3;21733;6,9;4460;1,4;2023;0,6;Stimmen nach Wahlvorschlägen;54619;17,2;34655;10,9;77820;24,6;34432;10,9;21939;6,9;8745;2,8;0;0;8363;2,6;0;0;0;0;0;0;0;0;0;0;38362;12,1;0;0;0;0;4460;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9585;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3588;1,1;0;0;0;0;0;0;0;0;0;0;0;0;4282;1,4;0;0;6852;2,2;0;0;0;0;0;0;0;0;2299;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2980;0,9;1732;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;0,2;0;0;1040;0,3;0;0;0;0;474;0,1;0;0;0;0;0;0;0;0;0;0;0;0
12061;Landkreis 61;Dahme-Spreewald;304;147055;116022;78,9;31033;21,1;0;0;98434;66,9;28263;28,7;1775;1,8;285987;96,8;Stimmen nach aggregierten Wahlvorschlägen;47296;16,5;52854;18,5;73333;25,6;17259;6;14899;5,2;15980;5,6;7229;2,5;0;0;3598;1,3;0;0;2011;0,7;0;0;0;0;14542;5,1;15795;5,5;18603;6,5;2588;0,9;Stimmen nach Wahlvorschlägen;47296;16,5;52854;18,5;73333;25,6;17259;6;14899;5,2;7229;2,5;0;0;3598;1,3;0;0;2011;0,7;0;0;0;0;0;0;15980;5,6;18603;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14542;5,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6388;2,2;0;0;0;0;2391;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4177;1,5;0;0;0;0;0;0;0;0;0;0;2839;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1260;0,4;835;0,3;0;0;493;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12062;Landkreis 62;Elbe-Elster;237;84597;70085;82,8;14512;17,2;0;0;58279;68,9;13142;22,6;1283;2,2;168865;96,6;Stimmen nach aggregierten Wahlvorschlägen;37530;22,2;17618;10,4;46516;27,5;8108;4,8;3187;1,9;10799;6,4;3428;2;0;0;0;0;0;0;0;0;0;0;0;0;16468;9,8;23692;14;0;0;1519;0,9;Stimmen nach Wahlvorschlägen;37530;22,2;17618;10,4;46516;27,5;8108;4,8;3187;1,9;3428;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10799;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16468;9,8;0;0;0;0;0;0;11258;6,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3612;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3593;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5229;3,1;0;0;1519;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12063;Landkreis 63;Havelland;253;140520;113607;80,8;26913;19,2;0;0;88073;62,7;24388;27,7;1737;2;256125;96,9;Stimmen nach aggregierten Wahlvorschlägen;62588;24,4;45462;17,7;63132;24,6;18030;7;20988;8,2;11713;4,6;9194;3,6;0;0;5833;2,3;3028;1,2;0;0;0;0;0;0;11103;4,3;5054;2;0;0;0;0;Stimmen nach Wahlvorschlägen;62588;24,4;45462;17,7;63132;24,6;18030;7;20988;8,2;9194;3,6;0;0;5833;2,3;0;0;0;0;0;0;0;0;0;0;11713;4,6;0;0;0;0;0;0;0;0;0;0;3028;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11103;4,3;0;0;0;0;0;0;0;0;0;0;0;0;5054;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12064;Landkreis 64;Märkisch-Oderland;279;167129;130832;78,3;36297;21,7;0;0;111569;66,8;32185;28,8;2436;2,2;324689;97;Stimmen nach aggregierten Wahlvorschlägen;51248;15,8;47822;14,7;94170;29;30647;9,4;20383;6,3;29987;9,2;13482;4,2;0;0;0;0;0;0;0;0;0;0;0;0;20426;6,3;16524;5,1;0;0;0;0;Stimmen nach Wahlvorschlägen;51248;15,8;47822;14,7;94170;29;30647;9,4;20383;6,3;13482;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29987;9,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20426;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4681;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;854;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10989;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12065;Landkreis 65;Oberhavel;272;182090;142059;78;40031;22;0;0;122033;67;35793;29,3;2158;1,8;355528;97,1;Stimmen nach aggregierten Wahlvorschlägen;73412;20,6;60335;17;90113;25,3;23035;6,5;27761;7,8;21040;5,9;15179;4,3;0;0;2076;0,6;5700;1,6;10231;2,9;0;0;0;0;7244;2;15013;4,2;0;0;4389;1,2;Stimmen nach Wahlvorschlägen;73412;20,6;60335;17;90113;25,3;23035;6,5;27761;7,8;15179;4,3;0;0;2076;0,6;5700;1,6;10231;2,9;0;0;0;0;0;0;21040;5,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6386;1,8;0;0;7244;2;0;0;0;0;0;0;0;0;3625;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2532;0,7;0;0;0;0;0;0;0;0;2470;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4389;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
