Nr;Gebiet;gehört zu;Wahlberechtigte;Wähler;Ungültige;Gültige;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Freie Demokratische Partei;DIE LINKE;FREIE WÄHLER;bunt.saar – sozial-ökologische liste;Familien-Partei Deutschlands;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;Freie Wählergemeinschaft Saarpfalz-Kreis;Saarland für alle Saarbrücken;Übrige
41100;Saarbrücken;41;131560;74222;3040;71182;20898;19605;;11016;5092;5835;4354;2592;;;;1790;
41511;Friedrichsthal;41;8211;4842;296;4546;1325;1451;;240;260;437;583;100;;;;150;
41512;Großrosseln;41;6441;4554;246;4308;1454;1904;;153;155;212;311;43;;;;76;
41513;Heusweiler;41;14876;10359;463;9896;2972;3812;;570;879;490;777;183;;;;213;
41514;Kleinblittersdorf;41;9100;6297;323;5974;1904;2159;;465;363;295;580;84;;;;124;
41515;Püttlingen;41;15153;9991;432;9559;2754;3918;;628;450;546;954;103;;;;206;
41516;Quierschied;41;10528;7176;375;6801;1904;2654;;416;279;341;962;103;;;;142;
41517;Riegelsberg;41;11742;7896;291;7605;2138;2967;;686;430;689;499;71;;;;125;
41518;Sulzbach/ Saar;41;12494;7145;420;6725;1853;2097;;372;361;503;1264;105;;;;170;
41519;Völklingen;41;28856;15804;951;14853;4670;4945;;749;763;1126;1853;244;;;;503;
10041;RV Saarbrücken;10;248961;148286;6837;141449;41872;45512;;15295;9032;10474;12137;3628;;;;3499;
;;;;;;;;;;;;;;;;;;;
42111;Beckingen;42;12279;8613;237;8376;2960;3077;1266;379;312;382;;;;;;;
42112;Losheim am See;42;13123;9131;199;8932;2734;3693;1297;562;335;311;;;;;;;
42113;Merzig;42;23838;15148;341;14807;4188;5895;2307;1081;711;625;;;;;;;
42114;Mettlach;42;9850;6599;146;6453;1864;2829;940;323;302;195;;;;;;;
42115;Perl;42;7394;4124;91;4033;1125;1900;382;306;206;114;;;;;;;
42116;Wadern;42;12987;9598;243;9355;2906;3755;1458;585;336;315;;;;;;;
42117;Weiskirchen;42;5249;3831;133;3698;930;1632;685;182;138;131;;;;;;;
10042;LK Merzig-Wadern;10;84720;57044;1390;55654;16707;22781;8335;3418;2340;2073;;;;;;;
;;;;;;;;;;;;;;;;;;;
43111;Eppelborn;43;13729;10052;144;9908;2728;4191;1197;443;251;136;200;;;762;;;
43112;Illingen;43;13331;9536;259;9277;2800;3283;1145;619;234;127;247;;;822;;;
43113;Merchweiler;43;8235;5724;106;5618;1862;1804;809;257;105;141;129;;;511;;;
43114;Neunkirchen;43;35814;19214;499;18715;5965;4509;4002;847;430;557;723;;;1682;;;
43115;Ottweiler;43;11688;7917;127;7790;2759;2213;1189;344;116;118;179;;;872;;;
43116;Schiffweiler;43;12926;8696;124;8572;2767;2708;1353;372;148;174;283;;;767;;;
43117;Spiesen-Elversberg;43;10628;6419;92;6327;1713;1630;1187;303;222;296;277;;;699;;;
10043;LK Neunkirchen;10;106351;67558;1351;66207;20594;20338;10882;3185;1506;1549;2038;;;6115;;;
;;;;;;;;;;;;;;;;;;;
44111;Dillingen/Saar;44;15157;8767;163;8604;2146;3134;1323;440;263;162;;;;1136;;;
44112;Lebach;44;14589;10107;237;9870;2591;3622;1274;632;478;217;;;;1056;;;
44113;Nalbach;44;7485;5193;94;5099;1956;1311;776;219;121;85;;;;631;;;
44114;Rehlingen-Siersburg;44;11832;8616;144;8472;3049;2550;1114;482;202;127;;;;948;;;
44115;Saarlouis;44;27880;17220;247;16973;5437;5729;2254;1272;438;336;;;;1507;;;
44116;Saarwellingen;44;10825;7579;181;7398;2483;2160;1011;458;236;172;;;;878;;;
44117;Schmelz;44;12875;8847;178;8669;3233;2523;1317;305;225;188;;;;878;;;
44118;Schwalbach;44;14319;10305;183;10122;3192;3283;1485;506;264;203;;;;1189;;;
44119;Überherrn;44;9592;6697;104;6593;1741;2171;998;379;137;247;;;;920;;;
44120;Wadgassen;44;14176;9139;170;8969;2783;2482;1295;607;380;184;;;;1238;;;
44121;Wallerfangen;44;7488;5144;86;5058;1563;1620;712;326;149;84;;;;604;;;
44122;Bous;44;5319;3323;55;3268;920;958;485;281;115;100;;;;409;;;
44123;Ensdorf;44;5056;3151;65;3086;817;1011;434;202;113;67;;;;442;;;
10044;LK Saarlouis;10;156593;104088;1907;102181;31911;32554;14478;6109;3121;2172;;;;11836;;;
;;;;;;;;;;;;;;;;;;;
45111;Bexbach;45;14797;9512;252;9260;2727;2869;1712;376;227;440;;;265;;644;;
45112;Blieskastel;45;16684;12405;333;12072;3541;3867;1995;954;291;404;;;500;;520;;
45113;Gersheim;45;5180;3902;76;3826;1195;1415;550;235;76;119;;;135;;101;;
45114;Homburg;45;31967;20245;412;19833;5469;5958;3486;1703;579;961;;;493;;1184;;
45115;Kirkel;45;8214;6283;107;6176;2709;1569;670;443;277;171;;;176;;161;;
45116;Mandelbachtal;45;9253;6851;161;6690;1789;2515;837;507;154;188;;;264;;436;;
45117;St. Ingbert;45;28342;18513;400;18113;4918;5573;2594;1312;573;679;;;1254;;1210;;
10045;Saar-Pfalz Kreis;10;114437;77711;1741;75970;22348;23766;11844;5530;2177;2962;;;3087;;4256;;
;;;;;;;;;;;;;;;;;;;
46111;Freisen;46;6477;4873;57;4816;1505;1777;614;140;52;80;648;;;;;;
46112;Marpingen;46;8391;6570;101;6469;2367;2843;563;301;101;109;185;;;;;;
46113;Namborn;46;5778;4363;91;4272;1004;1803;639;161;77;116;472;;;;;;
46114;Nohfelden;46;8007;6082;114;5968;1556;3015;666;243;97;95;296;;;;;;
46115;Nonnweiler;46;6973;5168;111;5057;1377;2247;626;204;106;74;423;;;;;;
46116;Oberthal;46;4874;3934;103;3831;1243;1800;398;140;50;74;126;;;;;;
46117;St. Wendel;46;20481;14873;257;14616;3659;7135;1620;856;406;308;632;;;;;;
46118;Tholey;46;9886;7665;137;7528;1544;4268;737;392;147;154;286;;;;;;
10046;LK St. Wendel;10;70867;53528;971;52557;14255;24888;5863;2437;1036;1010;3068;;;;;;
;;;;;;;;;;;;;;;;;;;
99;Saarland;;781929;508215;14197;494018;147687;169839;51402;35974;19212;20240;17243;3628;3087;17951;4256;3499;
