Nr;Gebiet;gehört zu;Wahlberechtigte;Wählende;Ungültige Stimmen;Gültige Stimmen;Christlich Demokratische Union Deutschlands;BÜNDNIS 90/DIE GRÜNEN;Sozialdemokratische Partei Deutschlands;Alternative für Deutschland;Christlich-Soziale Union in Bayern e.V.;DIE LINKE;Freie Demokratische Partei;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;FREIE WÄHLER;PARTEI MENSCH UMWELT TIERSCHUTZ;Ökologisch-Demokratische Partei, Die Naturschutzpartei;Familien-Partei Deutschlands;Volt Deutschland;Piratenpartei Deutschland;MERA25 - Gemeinsam für Europäische Unabhängigkeit;Die Heimat;Aktion Partei für Tierschutz;Partei für schulmedizinische Verjüngungsforschung;Bündnis für Innovation & Gerechtigkeit;Bündnis C - Christen für Deutschland;Partei der Humanisten;Menschliche Welt, für das Wohl und Glücklichsein aller;Deutsche Kommunistische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Aktion Bürger für Gerechtigkeit;Basisdemokratische Partei Deutschland;BÜNDNIS DEUTSCHLAND;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;Demokratische Allianz für Vielfalt und Aufbruch;Klimaliste Deutschland;Parlament aufmischen – Stimme der Letzten Generation;Partei der Vernunft;Partei des Fortschritts;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;Übrige
01001;Flensburg, Stadt;01;70929;41851;299;41552;8262;9911;6552;4273;;1724;2117;1140;289;888;165;306;1744;350;173;27;137;23;21;44;106;80;24;7;6;16;157;117;2101;103;49;170;43;340;87;
01002;Kiel, Landeshauptstadt;01;187041;117097;550;116547;22720;28409;19837;9351;;5637;6033;4125;772;1959;415;598;6049;809;639;52;361;73;82;109;454;112;86;43;22;39;485;400;4446;578;148;599;63;832;210;
01003;Lübeck, Hansestadt;01;166429;96558;604;95954;22072;18906;17909;10290;;3251;5065;2213;983;1520;361;534;4376;601;329;73;337;33;55;118;273;119;34;43;13;37;244;335;3870;670;95;354;79;604;158;
01004;Neumünster, Stadt;01;59983;33019;282;32737;9294;3720;5626;5697;;709;1921;662;301;498;108;243;597;201;120;87;130;13;20;54;57;39;6;7;7;15;131;159;1518;336;24;47;24;313;53;
01051;Dithmarschen;01;108756;68033;506;67527;23596;5994;10553;11005;;1150;4865;1123;1032;1034;133;615;1182;366;69;68;284;21;23;54;108;92;12;23;14;39;146;328;2878;23;28;116;55;421;77;
01053;Herzogtum Lauenburg;01;157260;103159;656;102503;31909;13813;16751;14656;;2012;6496;1731;1471;1584;364;868;2343;480;184;85;413;41;39;125;195;146;20;19;17;56;322;444;4279;279;62;207;59;861;172;
01054;Nordfriesland;01;134516;86307;736;85571;30037;12186;13845;9207;;1504;5173;1583;1325;1448;257;892;1371;484;118;59;380;31;26;81;162;156;17;32;10;57;242;282;3495;39;67;178;80;614;133;
01055;Ostholstein;01;170581;106270;800;105470;36217;13314;18404;13506;;1686;6603;1628;1645;1740;290;864;1643;538;138;76;477;43;34;137;169;137;19;28;16;51;254;451;4143;71;59;178;89;673;149;
01056;Pinneberg;01;243302;161663;1029;160634;48372;23972;28131;18901;;3465;11574;2847;1653;2422;628;1078;4232;852;387;97;536;79;70;180;332;191;48;39;22;71;468;735;6635;552;108;343;90;1292;232;
01057;Plön;01;107875;73378;485;72893;23139;11751;12624;8536;;1315;4404;1397;916;1082;214;553;1646;393;100;50;274;31;17;80;137;97;14;12;10;27;322;275;2611;63;41;138;43;470;111;
01058;Rendsburg-Eckernförde;01;224976;151475;899;150576;49203;23197;24771;17527;;2713;9456;3319;1769;2411;457;1114;2832;830;212;125;560;50;55;130;314;181;44;26;31;72;628;642;5867;263;87;309;108;1058;215;
01059;Schleswig-Flensburg;01;166007;109312;732;108580;35545;16340;17495;12730;;2010;6098;1987;1924;1822;335;1090;1932;595;149;69;488;46;40;64;211;178;29;17;13;70;413;548;4890;99;44;214;100;809;186;
01060;Segeberg;01;219833;141538;833;140705;44233;18163;22441;19268;;2693;10032;3203;1774;2264;460;1247;3111;806;233;102;461;73;67;140;284;185;33;24;16;86;560;716;5796;355;106;266;92;1190;225;
01061;Steinburg;01;106230;68182;467;67715;22579;8082;10394;10247;;1235;3907;1426;1169;1028;209;589;1244;365;106;59;253;18;20;70;147;109;33;15;12;58;283;305;2743;117;41;137;56;543;116;
01062;Stormarn;01;191657;132641;784;131857;40658;20840;22015;15249;;2513;9988;2379;1229;1930;475;927;3338;693;253;66;421;65;40;143;267;153;23;14;17;58;402;571;5056;318;99;287;87;1075;208;
01;Schleswig-Holstein;99;2315375;1490483;9662;1480821;447836;228598;247348;180443;;;93732;30763;18252;23630;4871;11518;37640;8363;3210;1095;5512;640;609;1529;3216;1975;442;349;226;752;5057;6308;60328;3866;1058;3543;1068;11095;2332;
02000;Hamburg, Freie und Hansestadt;02;1321817;868354;7937;860417;158535;182116;161254;68961;;44289;60282;21694;4092;12909;3483;2763;51210;5388;5832;320;2445;419;847;946;2125;1088;588;328;122;322;1712;2746;42366;7651;1012;5152;476;5404;1540;
02;Hamburg;99;1321817;868354;7937;860417;158535;182116;161254;68961;;;60282;21694;4092;12909;3483;2763;51210;5388;5832;320;2445;419;847;946;2125;1088;588;328;122;322;1712;2746;42366;7651;1012;5152;476;5404;1540;
03101;Braunschweig, Stadt;03;189994;125658;465;125193;28003;22659;25265;12027;;3928;7215;3441;853;2120;705;519;6345;1075;492;61;543;69;115;165;460;132;50;73;13;47;340;458;5368;625;150;610;93;941;233;
03102;Salzgitter, Stadt;03;70385;38773;339;38434;10123;2340;8670;8468;;807;1547;663;354;598;73;189;456;140;145;41;223;24;23;50;63;52;14;7;9;26;62;134;2124;672;16;48;22;207;44;
03103;Wolfsburg, Stadt;03;87768;52826;354;52472;15244;5115;11409;8250;;918;2868;924;374;800;138;291;1105;305;140;44;245;26;43;136;102;83;13;28;4;29;128;259;2670;206;32;58;51;361;73;
03151;Gifhorn;03;138358;91137;643;90494;28310;8683;17677;15484;;1415;4851;1573;1132;1355;221;601;1425;454;93;64;418;44;60;539;161;111;24;21;6;56;225;439;3762;301;35;130;71;631;122;
03153;Goslar;03;104368;61614;301;61313;18302;5277;13153;10000;;1203;3507;1151;748;1074;138;394;1060;276;100;43;361;40;16;59;108;74;14;6;10;40;141;279;2976;194;35;93;47;320;74;
03154;Helmstedt;03;72153;45470;245;45225;14056;3630;9678;7739;;681;2242;797;571;763;184;327;648;261;44;47;274;28;20;41;78;57;4;5;5;13;149;216;2148;77;16;58;22;284;62;
